codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
001 | CORPO PRINCIPAL MBF-015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
002 | TAMPA DA CAMISA - 015 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
003 | REDUÇÃO 1/4xM8 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 75
003/1 | REDUÇÃO 1/4xM8 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
004 | CORPO DA VÁLVULA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
004/LC | CORPO DA VÁLVULA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
005 | TAMPA INTERMEDIARIA 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
005/1 | BUCHA DA TAMPA INTERMEDIÁRIA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
005/2 | BUCHA DA TAMPA INTER. DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
005/32 | TAMPA INTERMEDIÁRIA DO 032 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
006 | ANÉL ELASTICO DE O38mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
006/32 | ANÉL ELASTICO DE O32mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
007 | TAMPA TRASEIRA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
008 | PISTÃO HIDRÁULICO 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
008/32 | PISTÃO HIDRÁULICO 032 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
012 | VÁLVULA HIDROPNEUMÁTICA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
013 | PARAFUSO DE FIXAÇÃO DA CAMISA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
013/LC | PARAFUSO DE FIXAÇÃO DA CAMISA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
014 | BUJÃO DA TAMPA TRAZEIRA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
015 | PARAFUSO DA VALVULA C/SANGRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
015/VF | PARAF. FIX. DA VÁLVULA DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
016 | TUBO DE PASSAGEM DE AR 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
018 | ABRAÇADEIRA DE INOX | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
019 | PARAFUSO ALLEN M6x30 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
020 | PORCA M6x1 AUTO TRAVANTE | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
021 | ARRUELA DE VEDAÇÃO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 5000
021/1 | ARRUELA DE AL. 18,2x22x1,5 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1200
021/2 | ARRUELA DE AL. 16,2x22x1,5 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
021/3 | ARRUELA DE ALUMINIO M22 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 500
022 | GUARDA PÓ 025 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 850
024 | TUBO DE PASSAGEM DE AR 025 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/40 | TUBO PASSAGEM DE AR 040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/AL | TUBO PASSAGEM DE AR AL/TR-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
024/OF | TUBO PASSAGEM DE AR DO OF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
024/VF | TUBO PASSAGEM DE AR DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/LC | TUBO PASSAGEM DE AR DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
025 | PORCA M10x1 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 500
026 | ANÉL ELÁSTICO DE 014mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
027 | TELA DE LATÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
028 | PARAFUSO DA VALVULA C/ ROSCA 1/4 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 150
028/AG | PARAFUSO DA VALVULA C/ROSCA M14 x 1,50 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
029/1 | EMBOLO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
029/2 | EMBÔLO DE BORRACHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1500
030 | GUARDA PÓ 015 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 450
031 | RETENTOR 038mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 450
032 | PRATO DO PISTÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
032/VF | PRATO DO PISTÃO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
032/1 | GUIA DE BORRACHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
032/1N | GAXETA DE NYLON | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
033 | RETENTOR DE 016mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1800
034 | RETENTOR 7/16 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
034/VF | RETENTOR DA TAMPA DO VF | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
036 | ANÉL ELASTICO DE 028 mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
036/VF | ANEL ELASTICO DO VF24MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
